body diag: graph_backend=kuzu seconds=3600 stamp=20260705_094611
cycle rate (steady window): 3.22 cycles/s  (43 -> 11640 cycles over 3600.7s)
  t=11.2s cycles=43
  t=21.9s cycles=99
  t=32.1s cycles=163
  t=42.6s cycles=215
  t=54.3s cycles=261
  t=64.6s cycles=314
  t=75.7s cycles=366
  t=86.6s cycles=420
  t=98.1s cycles=477
  t=108.4s cycles=536
  t=118.9s cycles=590
  t=130.1s cycles=640
  t=141.3s cycles=688
  t=151.4s cycles=734
  t=162.1s cycles=785
  t=173.6s cycles=839
  t=184.7s cycles=892
  t=195.1s cycles=945
  t=206.2s cycles=1002
  t=216.6s cycles=1049
  t=227.1s cycles=1098
  t=238s cycles=1156
  t=248.2s cycles=1205
  t=260.3s cycles=1254
  t=270.6s cycles=1303
  t=281.3s cycles=1352
  t=291.5s cycles=1403
  t=302.2s cycles=1449
  t=312.6s cycles=1496
  t=323.4s cycles=1547
  t=333.9s cycles=1597
  t=344.3s cycles=1639
  t=355.9s cycles=1681
  t=366.4s cycles=1728
  t=378s cycles=1777
  t=388.1s cycles=1820
  t=399.5s cycles=1863
  t=409.5s cycles=1915
  t=421.2s cycles=1968
  t=432.5s cycles=2009
  t=443.9s cycles=2053
  t=454.3s cycles=2101
  t=465.1s cycles=2153
  t=475.9s cycles=2198
  t=486.7s cycles=2238
  t=497.1s cycles=2277
  t=509.1s cycles=2329
  t=519.9s cycles=2372
  t=532.4s cycles=2409
  t=544.2s cycles=2452
  t=556.1s cycles=2487
  t=567.5s cycles=2533
  t=578.1s cycles=2567
  t=589.4s cycles=2607
  t=600.1s cycles=2643
  t=610.9s cycles=2687
  t=621.5s cycles=2719
  t=632.8s cycles=2758
  t=644.7s cycles=2801
  t=656.6s cycles=2848
  t=667.1s cycles=2889
  t=678.5s cycles=2927
  t=690.3s cycles=2973
  t=701.1s cycles=3024
  t=713.5s cycles=3066
  t=724.5s cycles=3111
  t=736s cycles=3155
  t=746.5s cycles=3190
  t=759.6s cycles=3222
  t=771.5s cycles=3256
  t=782.7s cycles=3302
  t=793.4s cycles=3346
  t=803.8s cycles=3386
  t=815s cycles=3427
  t=825.5s cycles=3472
  t=836s cycles=3512
  t=846.4s cycles=3552
  t=857s cycles=3584
  t=868.9s cycles=3621
  t=880.3s cycles=3662
  t=891s cycles=3705
  t=901.4s cycles=3739
  t=913.3s cycles=3776
  t=925s cycles=3826
  t=936.5s cycles=3866
  t=948.8s cycles=3908
  t=960.7s cycles=3948
  t=972.7s cycles=3994
  t=984.5s cycles=4035
  t=995s cycles=4076
  t=1006.7s cycles=4110
  t=1018.2s cycles=4154
  t=1029.5s cycles=4200
  t=1040.2s cycles=4234
  t=1050.3s cycles=4265
  t=1061s cycles=4305
  t=1071.8s cycles=4347
  t=1083.3s cycles=4387
  t=1095.6s cycles=4422
  t=1106.4s cycles=4465
  t=1117.5s cycles=4508
  t=1129.8s cycles=4552
  t=1141.7s cycles=4587
  t=1152.7s cycles=4628
  t=1164.3s cycles=4667
  t=1176.3s cycles=4711
  t=1188.6s cycles=4748
  t=1199.4s cycles=4792
  t=1210.7s cycles=4832
  t=1224.2s cycles=4878
  t=1234.7s cycles=4918
  t=1246.4s cycles=4963
  t=1258.6s cycles=5009
  t=1270.2s cycles=5048
  t=1281.6s cycles=5081
  t=1292s cycles=5121
  t=1304s cycles=5158
  t=1315.8s cycles=5201
  t=1326.4s cycles=5235
  t=1336.8s cycles=5271
  t=1347.9s cycles=5312
  t=1360.3s cycles=5353
  t=1372.8s cycles=5393
  t=1383.4s cycles=5434
  t=1393.7s cycles=5473
  t=1404.4s cycles=5513
  t=1415.4s cycles=5547
  t=1425.9s cycles=5581
  t=1436.9s cycles=5616
  t=1448.3s cycles=5652
  t=1460.6s cycles=5690
  t=1472.4s cycles=5726
  t=1484.3s cycles=5768
  t=1494.4s cycles=5804
  t=1506.9s cycles=5841
  t=1519s cycles=5878
  t=1531.1s cycles=5914
  t=1543.1s cycles=5953
  t=1553.5s cycles=5986
  t=1563.7s cycles=6015
  t=1573.8s cycles=6050
  t=1584.4s cycles=6086
  t=1594.5s cycles=6118
  t=1605.8s cycles=6152
  t=1617.1s cycles=6187
  t=1629.2s cycles=6225
  t=1639.8s cycles=6262
  t=1652.4s cycles=6298
  t=1664.5s cycles=6338
  t=1674.9s cycles=6379
  t=1685s cycles=6413
  t=1695.8s cycles=6447
  t=1707s cycles=6477
  t=1719.1s cycles=6512
  t=1730.8s cycles=6551
  t=1743.5s cycles=6589
  t=1754.6s cycles=6625
  t=1766.5s cycles=6663
  t=1776.9s cycles=6702
  t=1787.3s cycles=6737
  t=1799.7s cycles=6768
  t=1811.5s cycles=6807
  t=1821.8s cycles=6843
  t=1832.1s cycles=6874
  t=1844.1s cycles=6906
  t=1856.1s cycles=6941
