body diag: graph_backend=kuzu seconds=3600 stamp=20260706_001536
cycle rate (steady window): 2.87 cycles/s  (44 -> 10360 cycles over 3593.4s)
  t=11s cycles=44
  t=21.1s cycles=100
  t=31.9s cycles=159
  t=42.9s cycles=216
  t=53.9s cycles=266
  t=64.9s cycles=327
  t=75.1s cycles=387
  t=85.3s cycles=436
  t=95.8s cycles=485
  t=107.2s cycles=543
  t=117.4s cycles=598
  t=128.2s cycles=644
  t=139.5s cycles=692
  t=150.1s cycles=748
  t=160.6s cycles=803
  t=171.8s cycles=852
  t=181.9s cycles=898
  t=192.3s cycles=952
  t=202.7s cycles=1001
  t=214s cycles=1050
  t=225.3s cycles=1098
  t=236.6s cycles=1154
  t=247s cycles=1208
  t=258.3s cycles=1257
  t=268.6s cycles=1302
  t=278.7s cycles=1355
  t=289s cycles=1409
  t=299.6s cycles=1462
  t=310.4s cycles=1504
  t=320.9s cycles=1565
  t=332s cycles=1621
  t=342.6s cycles=1670
  t=352.9s cycles=1713
  t=363.9s cycles=1767
  t=374.3s cycles=1817
  t=384.8s cycles=1866
  t=396.7s cycles=1905
  t=407.3s cycles=1938
  t=419.1s cycles=1975
  t=430.2s cycles=2013
  t=441s cycles=2045
  t=452.1s cycles=2095
  t=463s cycles=2144
  t=473.8s cycles=2192
  t=485.1s cycles=2237
  t=496.2s cycles=2287
  t=507.5s cycles=2336
  t=519s cycles=2386
  t=529.4s cycles=2425
  t=539.9s cycles=2470
  t=550.8s cycles=2516
  t=561.4s cycles=2562
  t=571.9s cycles=2606
  t=582.7s cycles=2650
  t=593.2s cycles=2700
  t=604.1s cycles=2748
  t=615.7s cycles=2801
  t=626.7s cycles=2849
  t=638.5s cycles=2898
  t=649.5s cycles=2948
  t=661.4s cycles=2994
  t=671.7s cycles=3042
  t=682.7s cycles=3094
  t=694.2s cycles=3147
  t=704.5s cycles=3192
  t=716.3s cycles=3237
  t=727.8s cycles=3282
  t=739s cycles=3332
  t=749.6s cycles=3374
  t=760.2s cycles=3419
  t=770.9s cycles=3470
  t=782.8s cycles=3512
  t=792.9s cycles=3553
  t=804.3s cycles=3596
  t=815.8s cycles=3650
  t=826.2s cycles=3702
  t=838.1s cycles=3749
  t=848.5s cycles=3794
  t=859.5s cycles=3846
  t=869.9s cycles=3885
  t=880.5s cycles=3919
  t=890.8s cycles=3955
  t=902.3s cycles=4002
  t=912.7s cycles=4052
  t=923.8s cycles=4100
  t=934.2s cycles=4143
  t=944.7s cycles=4190
  t=956.7s cycles=4230
  t=967.2s cycles=4276
  t=978.9s cycles=4319
  t=989.1s cycles=4369
  t=1000.8s cycles=4418
  t=1011.4s cycles=4467
  t=1023.3s cycles=4507
  t=1033.3s cycles=4546
  t=1044.2s cycles=4589
  t=1055.2s cycles=4630
  t=1066.4s cycles=4671
  t=1077.6s cycles=4719
  t=1087.7s cycles=4769
  t=1097.8s cycles=4816
  t=1109.4s cycles=4865
  t=1121.1s cycles=4914
  t=1132.1s cycles=4970
  t=1143.4s cycles=5020
  t=1154.8s cycles=5061
  t=1166.2s cycles=5114
  t=1176.9s cycles=5157
  t=1188.3s cycles=5198
  t=1199.3s cycles=5232
  t=1210.6s cycles=5275
  t=1221.1s cycles=5323
  t=1231.5s cycles=5371
  t=1242s cycles=5412
  t=1252s cycles=5446
  t=1262.5s cycles=5494
  t=1274.1s cycles=5541
  t=1285.2s cycles=5574
  t=1296.8s cycles=5613
  t=1307.9s cycles=5664
  t=1320.6s cycles=5709
  t=1332s cycles=5737
  t=1343.7s cycles=5770
  t=1353.8s cycles=5807
  t=1365.3s cycles=5847
  t=1376.2s cycles=5876
  t=1387.2s cycles=5899
  t=1400s cycles=5925
  t=1412.9s cycles=5954
  t=1423.7s cycles=5983
  t=1438.1s cycles=6007
  t=1450.6s cycles=6039
  t=1461.6s cycles=6071
  t=1472.6s cycles=6103
  t=1485.6s cycles=6129
  t=1496.9s cycles=6151
  t=1508.1s cycles=6177
  t=1521.4s cycles=6205
  t=1535s cycles=6232
  t=1545.2s cycles=6255
  t=1555.3s cycles=6273
  t=1567.5s cycles=6301
  t=1580s cycles=6332
  t=1592.1s cycles=6359
  t=1605.2s cycles=6385
  t=1615.5s cycles=6411
  t=1627.5s cycles=6436
  t=1638.2s cycles=6458
  t=1648.4s cycles=6477
  t=1658.6s cycles=6499
  t=1669.7s cycles=6523
  t=1679.8s cycles=6547
  t=1690.9s cycles=6570
